,geo,text,user,location
0,," Currently Considering all formats,KL rahul &gt; Kohli Retweet if u agree#IPL2020 #DCvKXIP",_raghavaa,
1,, Listen in to sadda debutant who returned with some decent bowling figures tonight! 👇#SaddaPunjab #WakhraSquad #DCvKXIP…,RubinaK90396244,"Goa, India"
2,, 𝗧𝗵𝗲 𝗱𝗿𝗮𝗺𝗮. 𝗧𝗵𝗲 𝗘𝘅𝗰𝗶𝘁𝗲𝗺𝗲𝗻𝘁. 𝗧𝗵𝗲 𝗧𝗵𝗿𝗶𝗹𝗹. 🔥💙𝗜𝘁 𝘄𝗮𝘀 𝗷𝘂𝘀𝘁 𝗮 𝗽𝗲𝗿𝗳𝗲𝗰𝘁 𝗯𝗲𝗴𝗶𝗻𝗻𝗶𝗻𝗴 𝘁𝗼 𝘁𝗵𝗲 #𝗗𝗿𝗲𝗮𝗺𝟭𝟭𝗜𝗣𝗟 𝘀𝗲𝗮𝘀𝗼𝗻 🤩 #DCvKXIP #Dream…,Rajni52183268,
3,, What is your opinion? 🤔#DCvKXIP  #Dream11IPL  #IPL2020 ,WishJalil,
4,, Listen in to sadda debutant who returned with some decent bowling figures tonight! 👇#SaddaPunjab #WakhraSquad #DCvKXIP…,nemi_bishnoi43,Jodhpur
5,," Currently Considering all formats,KL rahul &gt; Kohli Retweet if u agree#IPL2020 #DCvKXIP",AbhiVarma13,"Hyderabad, India"
6,," #MatchRecap 📽️#DCvKXIP can aptly be described as a rollercoaster of emotions 🎢😍ICYMI, here's a quick recap of our dr…",Dinesh92718626,"Riyadh, Kingdom of Saudi Arabi"
7,," Currently Considering all formats,KL rahul &gt; Kohli Retweet if u agree#IPL2020 #DCvKXIP",dhethadifans7,"Hyderabad, India"
8,," Currently Considering all formats,KL rahul &gt; Kohli Retweet if u agree#IPL2020 #DCvKXIP",VlCKY__264,Hyderabad
9,, said Sanju Samson should be the first choice of Dhoni's replacement.   said with his bat… ,Invincible_Ind_,
10,," After IPL,I wishRohit will be T20 captain and KL Rahul will be vice captain and Kumble will be co… ",IPLFan13,
11,," Pehli match ka playing XI ➡️ Dhawan, Shaw, Shreyas (C), Rishabh (WK), Hetmyer, Stoinis, Axar, Ashwin, Rabada, Nortje, M.…",Tamil3332,
12,, Chaa gaye yaaarrrrr 🤩Our perpetual reaction while watching our bowlers' performance so far 😁KXIP - 105/6 (16 overs)…,Tamil3332,
13,, Our Banner Game last night be 🔝🔥This one was for you Dilliwalon 💙#DCvKXIP #Dream11IPL #IPL2020 #YehHaiNayiDilli http…,Tamil3332,
14,," Duck in both normal play &amp; super over in T20s ▶️Shoaib Malik 0(1) &amp; 0(1) (PIA vs HBL, 25th Jul 2013) ▶️Moises Henriqu…",csn_stats,
15,, Carey Enjoyed Thrill Of Super Over    #AlexCarey #DelhiCapitals #DCvKXIP #IPL2020 #…,taurianbose,In land of the Sepoy Mutiny
16,,"You cannot watch ipl with akash chopra commenting something like-""Marcus (stoinis) kas k mar rhe hain ""#IPL2020 #DCvKXIP #RCBvSRH #iplmemes",anand074,patna
17,," Duck in both normal play &amp; super over in T20s ▶️Shoaib Malik 0(1) &amp; 0(1) (PIA vs HBL, 25th Jul 2013) ▶️Moises Henriqu…",shaik_asifuddin,
18,, watch live IPL on YOUTUBE#IPL2020 #IPL #IPLinUAE #Dream11IPL #Dream11IPL #Dream11 #DCvKXIP…,Ajaygolmalgobi,Leeds England UK
19,,watch live IPL on YOUTUBE#IPL2020 #IPL #IPLinUAE #Dream11IPL #Dream11IPL #Dream11… ,ABHAYSA68206585,india
